pr_auc,roc_auc,model,resampler,dataset
0.03900132702506427,0.59061986863711,Elastic_L100_C10,SMOTETomek,noisy_overlap_w2_n20_d0.csv
0.03915820399689307,0.5912869458128078,Elastic_L100_C10,SMOTEENN,noisy_overlap_w2_n20_d0.csv
0.03914931370859384,0.5982142857142857,Elastic_L100_C10,Random Undersample,noisy_overlap_w2_n20_d0.csv
0.0384791475107487,0.569683908045977,Elastic_L100_C10,Cluster Centroids,noisy_overlap_w2_n20_d0.csv
0.039906113751563166,0.5844365763546798,Elastic_L100_C10,No Resampling,noisy_overlap_w2_n20_d0.csv
0.6835662811223846,0.9299660076820184,Elastic_L0_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv
0.6688464260054237,0.9280393672765649,Elastic_L0_C10,SMOTE,baseline_easy_w5_n5_d0.csv
0.5163375493429223,0.9032875602842101,Elastic_L0_C10,ADASYN,baseline_easy_w5_n5_d0.csv
0.5162949679998464,0.9149823902612622,Elastic_L0_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv
0.6686748103304242,0.9280516388715042,Elastic_L0_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv
0.6667799217281274,0.928800206162795,Elastic_L0_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv
0.7072810835366105,0.9290333664666397,Elastic_L0_C10,Random Undersample,baseline_easy_w5_n5_d0.csv
0.6415382767746104,0.9214372491992785,Elastic_L0_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv
0.6867600773001628,0.9306409454036741,Elastic_L0_C10,No Resampling,baseline_easy_w5_n5_d0.csv
0.14882217492564315,0.7967925523895673,Elastic_L0_C10,Manual Upsampling,high_drift_w3_n10_d60.csv
0.14557726509635227,0.8042929292929293,Elastic_L0_C10,SMOTE,high_drift_w3_n10_d60.csv
0.13964039105770004,0.7991293532338309,Elastic_L0_C10,ADASYN,high_drift_w3_n10_d60.csv
0.1720734442630676,0.8027664706769184,Elastic_L0_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv
0.14557726509635227,0.8042929292929293,Elastic_L0_C10,SMOTETomek,high_drift_w3_n10_d60.csv
0.13638204806669277,0.8028041610131162,Elastic_L0_C10,SMOTEENN,high_drift_w3_n10_d60.csv
0.1708505898033858,0.7926843057440072,Elastic_L0_C10,Random Undersample,high_drift_w3_n10_d60.csv
0.14586106449312342,0.7809437660183929,Elastic_L0_C10,Cluster Centroids,high_drift_w3_n10_d60.csv
0.148329003481125,0.7947572742348862,Elastic_L0_C10,No Resampling,high_drift_w3_n10_d60.csv
0.03338262163204982,0.6212300230085193,Elastic_L0_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv
0.03650480260512162,0.633977986443629,Elastic_L0_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03735962128856701,0.6331695790062808,Elastic_L0_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv
0.025632137326058662,0.6598470244387787,Elastic_L0_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03650480260512162,0.633977986443629,Elastic_L0_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv
0.03468593726195166,0.6346620235060008,Elastic_L0_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv
0.01512864279537751,0.5828617623282134,Elastic_L0_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv
0.024683075813299815,0.5916298737640694,Elastic_L0_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv
0.07113299579074871,0.6026366519495057,Elastic_L0_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv
0.14815590722403613,0.7730766929887533,Elastic_L0_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv
0.14167861130475976,0.7724036850921273,Elastic_L0_C10,SMOTE,mixed_realistic_w4_n15_d30.csv
0.15846995143925724,0.7748564249820531,Elastic_L0_C10,ADASYN,mixed_realistic_w4_n15_d30.csv
0.1506446864009353,0.7677374970088537,Elastic_L0_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv
0.14167861130475976,0.7724036850921273,Elastic_L0_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv
0.14194555601011768,0.7723887293610912,Elastic_L0_C10,SMOTEENN,mixed_realistic_w4_n15_d30.csv
0.1310484830152318,0.7734655419956928,Elastic_L0_C10,Random Undersample,mixed_realistic_w4_n15_d30.csv
0.15352799374691165,0.7668850203397941,Elastic_L0_C10,Cluster Centroids,mixed_realistic_w4_n15_d30.csv
