pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.666881317358503,0.9287879345678558,Elastic_L0_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.707307961713122,0.9290947244413358,Elastic_L0_C10,Random Undersample,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6420750812180936,0.9217563106676976,Elastic_L0_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6871607203663092,0.9307636613530661,Elastic_L0_C10,No Resampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.14966055272274956,0.7967925523895674,Elastic_L0_C10,Manual Upsampling,high_drift_w3_n10_d60.csv,0.0356,True
0.1455896128402865,0.8042740841248305,Elastic_L0_C10,SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.13970128225243922,0.7992047339062265,Elastic_L0_C10,ADASYN,high_drift_w3_n10_d60.csv,0.0356,True
0.17205592619340068,0.8027853158450174,Elastic_L0_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.1455896128402865,0.8042740841248305,Elastic_L0_C10,SMOTETomek,high_drift_w3_n10_d60.csv,0.0356,True
0.13635134887567973,0.802672244836424,Elastic_L0_C10,SMOTEENN,high_drift_w3_n10_d60.csv,0.0356,True
0.17147225312731548,0.7927596864164028,Elastic_L0_C10,Random Undersample,high_drift_w3_n10_d60.csv,0.0356,True
0.14620558150705454,0.7808683853459973,Elastic_L0_C10,Cluster Centroids,high_drift_w3_n10_d60.csv,0.0356,True
0.1483173218247209,0.7947007387305896,Elastic_L0_C10,No Resampling,high_drift_w3_n10_d60.csv,0.0356,True
0.033390783194200094,0.6211056526335427,Elastic_L0_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.0365332918750233,0.633977986443629,Elastic_L0_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03736027404575677,0.6330452086313041,Elastic_L0_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.025599192102803234,0.6593495429388719,Elastic_L0_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.0365332918750233,0.633977986443629,Elastic_L0_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03576726777154658,0.6349107642559542,Elastic_L0_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.015147373415141656,0.5827995771407251,Elastic_L0_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.024685030055613632,0.5913189478266277,Elastic_L0_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03213361076252848,0.5000932777812326,Elastic_L0_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.14817732722746332,0.7730916487197894,Elastic_L0_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1416083301839277,0.7723438621679828,Elastic_L0_C10,SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.15850704657113385,0.7748564249820531,Elastic_L0_C10,ADASYN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1506589145143209,0.7677374970088537,Elastic_L0_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1416083301839277,0.7723438621679828,Elastic_L0_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv,0.0452,True
